ClientesCodigo,ClientesNome,ClientesNascimento,ClientesEndereco,ClientesBairro,ClientesCidade,ClientesUF,ClientesCEP,ClientesTelefone,ClientesEmail
1,Ana Carolina,12/23/85 0:00,Rua Santa Maria 67,Sumaré,São Paulo,SP,05656-500,7777-7777,anacarol@terra.com.br#mailto:anacarol@terra.com.br#
2,Simone,8/5/64 0:00,Rua Maria Antonia 678,Centro,São Paulo,SP,01223-999,5555-5555,siferreira@hotmail.com#mailto:siferreira@hotmail.com#
3,Henrique,10/12/54 0:00,Rua California 784 - ap 47,Brooklin,São Paulo,SP,04589-900,5656-9898,henri@terra.com.br#mailto:henri@terra.com.br#
4,Maria Cecilia,11/15/54 0:00,Rua Borges Lagoa 672,Vila Mariana,São Paulo,SP,04020-000,5454-8787,cecili@zipmail.com#mailto:cecili@zipmail.com#
5,Cristina,5/11/60 0:00,Rua Itambé 78,Perdizes,São Paulo,SP,05016-001,6363-9895,cristina@hotmail.com#mailto:cristina@hotmail.com#
6,Stella,6/26/59 0:00,Rua Zacharias de Gois 895,Campo Belo,São Paulo,SP,04878-000,2365-7452,stella@uol.com.br#mailto:stella@uol.com.br#
7,André,12/23/84 0:00,Rua Bela Cintra 765 - ap. 123,Jardins,São Paulo,SP,05123-004,3658-1234,andre@uol.com.br#mailto:andre@uol.com.br#
8,Sergio,3/31/74 0:00,Rua do Remanso 78,Vila Esperança,Campinas,SP,13165-000,3535-3535,
9,Claudio,2/28/75 0:00,Rua Senador Campos 89,Vila Nova,Campinas,SP,13100-001,3636-5454,
10,Myrian,4/12/77 0:00,Rua Maranhão 89,Higienópolis,São Paulo,SP,05698-890,8989-5656,
11,Srta. Alexia da Mota,12/10/71 0:00,"Área Ramos, 21",Manacas,Rezende de Cardoso,PR,03683594,17340325,paulo26@uol.com.br#mailto:paulo26@uol.com.br#
12,Dr. André Monteiro,06/27/80 0:00,Rodovia Alves,Cdi Jatoba,Barros,MA,25715553,47106264,fernandesrebeca@campos.com#mailto:fernandesrebeca@campos.com#
13,Ana Carolina Costa,02/04/50 0:00,"Esplanada Araújo, 284",Vila Minaslandia,da Rosa Paulista,DF,81409-348,69820264,lorenzorezende@monteiro.com#mailto:lorenzorezende@monteiro.com#
14,Mariana Almeida,05/23/51 0:00,Conjunto de Cunha,Bandeirantes,Nogueira,TO,89290-666,63848761,fda-costa@uol.com.br#mailto:fda-costa@uol.com.br#
15,Maria Vitória Ribeiro,08/21/50 0:00,"Passarela Aragão, 458",Horto,Mendes,SP,77083779,64726902,diogoda-rocha@cavalcanti.br#mailto:diogoda-rocha@cavalcanti.br#
16,João Lucas da Mata,11/26/88 0:00,"Trevo de Silva, 2",Vila São Rafael,da Rosa Paulista,ES,51337424,26146642,pietra58@aragao.com#mailto:pietra58@aragao.com#
